x	y	z	Velocidad				x'	y'
19.074868	-5.646897	-2.742888	0.43783	1.188566	0.514406		-12.3231008	-9.4190918
19.083624	-5.623126	-2.7326	0.435969	1.189115	0.514673		-12.3023944	-9.4118684
19.092344	-5.599343	-2.722307	0.434108	1.189661	0.514938		-12.2816634	-9.4046274
19.101026	-5.57555	-2.712008	0.432245	1.190204	0.515203		-12.2609091	-9.3973671
19.109671	-5.551746	-2.701704	0.430382	1.190745	0.515466		-12.24013085	-9.39008885
19.118278	-5.527931	-2.691395	0.428519	1.191284	0.515728		-12.2193283	-9.3827923
19.126849	-5.504105	-2.68108	0.426654	1.191821	0.51599		-12.19850215	-9.37547715
19.135382	-5.480269	-2.67076	0.424789	1.192355	0.51625		-12.1776527	-9.3681437
19.143878	-5.456422	-2.660435	0.422923	1.192887	0.51651		-12.1567793	-9.3607923
19.152336	-5.432564	-2.650105	0.421056	1.193417	0.516768		-12.1358816	-9.3534226
19.160757	-5.408696	-2.63977	0.419188	1.193944	0.517025		-12.11496095	-9.34603495
19.169141	-5.384817	-2.629429	0.41732	1.194469	0.517281		-12.09401635	-9.33862835
19.177487	-5.360928	-2.619083	0.415451	1.194991	0.517537		-12.07304845	-9.33120345
19.185796	-5.337028	-2.608733	0.413581	1.195511	0.517791		-12.0520566	-9.3237616
19.194068	-5.313118	-2.598377	0.41171	1.196029	0.518044		-12.0310418	-9.3163008
19.202302	-5.289197	-2.588016	0.409839	1.196544	0.518296		-12.0100027	-9.3088217
19.210499	-5.265266	-2.57765	0.407967	1.197058	0.518548		-11.98894065	-9.30132465
19.218658	-5.241325	-2.567279	0.406094	1.197568	0.518798		-11.9678553	-9.2938093
19.22678	-5.217374	-2.556903	0.404221	1.198077	0.519047		-11.946747	-9.286276
19.234865	-5.193412	-2.546522	0.402346	1.198583	0.519295		-11.92561475	-9.27872475
19.242911	-5.16944	-2.536136	0.400471	1.199086	0.519542		-11.90445885	-9.27115485
19.250921	-5.145459	-2.525746	0.398596	1.199588	0.519788		-11.88328135	-9.26356835
19.258893	-5.121467	-2.51535	0.396719	1.200087	0.520033		-11.86207955	-9.25596255
19.266827	-5.097465	-2.504949	0.394842	1.200583	0.520277		-11.84085445	-9.24833845
19.274724	-5.073454	-2.494544	0.392964	1.201078	0.52052		-11.8196074	-9.2406974
19.282583	-5.049432	-2.484133	0.391086	1.20157	0.520762		-11.79833605	-9.23303705
19.290405	-5.025401	-2.473718	0.389206	1.202059	0.521003		-11.77704275	-9.22535975
19.298189	-5.001359	-2.463298	0.387327	1.202546	0.521243		-11.75572515	-9.21766415
19.305936	-4.977308	-2.452873	0.385446	1.203031	0.521482		-11.7343856	-9.2099506
19.313645	-4.953248	-2.442443	0.383564	1.203514	0.52172		-11.71302375	-9.20221875
19.321316	-4.929178	-2.432009	0.381682	1.203994	0.521957		-11.6916386	-9.1944696
19.32895	-4.905098	-2.42157	0.3798	1.204472	0.522193		-11.6702305	-9.1867025
19.336546	-4.881008	-2.411126	0.377916	1.204947	0.522428		-11.6487991	-9.1789171
19.344104	-4.856909	-2.400677	0.376032	1.20542	0.522662		-11.6273454	-9.1711134
19.351625	-4.832801	-2.390224	0.374147	1.205891	0.522894		-11.60586975	-9.16329275
19.359107	-4.808683	-2.379766	0.372262	1.206359	0.523126		-11.58437045	-9.15545345
19.366553	-4.784556	-2.369304	0.370376	1.206825	0.523357		-11.56284955	-9.14759755
19.37396	-4.760419	-2.358837	0.368489	1.207289	0.523587		-11.541305	-9.139723
19.38133	-4.736274	-2.348365	0.366601	1.20775	0.523815		-11.5197395	-9.1318305
19.388662	-4.712119	-2.337889	0.364713	1.208209	0.524043		-11.4981507	-9.1239207
19.395956	-4.687954	-2.327408	0.362824	1.208666	0.52427		-11.4765386	-9.1159926
19.403213	-4.663781	-2.316922	0.360935	1.20912	0.524495		-11.45490555	-9.10804655
19.410431	-4.639599	-2.306432	0.359045	1.209571	0.52472		-11.43324985	-9.10008285
19.417612	-4.615407	-2.295938	0.357154	1.210021	0.524944		-11.4115712	-9.0921022
19.424755	-4.591207	-2.285439	0.355263	1.210468	0.525166		-11.38987125	-9.08410325
19.431861	-4.566998	-2.274936	0.35337	1.210913	0.525388		-11.36814935	-9.07608735
19.438928	-4.542779	-2.264428	0.351478	1.211355	0.525608		-11.3464038	-9.0680528
19.445958	-4.518552	-2.253916	0.349584	1.211795	0.525828		-11.3246373	-9.0600013
19.452949	-4.494316	-2.243399	0.34769	1.212232	0.526046		-11.30284815	-9.05193115
19.459903	-4.470072	-2.232878	0.345796	1.212668	0.526263		-11.28103805	-9.04384405
19.466819	-4.445818	-2.222353	0.3439	1.213101	0.52648		-11.25920465	-9.03573965
19.473697	-4.421556	-2.211824	0.342005	1.213531	0.526695		-11.23734995	-9.02761795
19.480537	-4.397286	-2.20129	0.340108	1.213959	0.526909		-11.21547395	-9.01947795
19.487339	-4.373006	-2.190751	0.338211	1.214385	0.527123		-11.19357465	-9.01131965
19.494104	-4.348719	-2.180209	0.336313	1.214808	0.527335		-11.1716554	-9.0031454
19.50083	-4.324423	-2.169662	0.334415	1.215229	0.527546		-11.1497135	-8.9949525
19.507518	-4.300118	-2.159111	0.332516	1.215648	0.527756		-11.1277493	-8.9867423
19.514168	-4.275805	-2.148556	0.330616	1.216064	0.527965		-11.1057638	-8.9785148
19.520781	-4.251484	-2.137997	0.328716	1.216478	0.528174		-11.08375735	-8.97027035
19.527355	-4.227154	-2.127433	0.326815	1.216889	0.528381		-11.06172825	-8.96200725
19.533891	-4.202816	-2.116866	0.324914	1.217298	0.528587		-11.03967785	-8.95372785
19.54039	-4.17847	-2.106294	0.323012	1.217705	0.528792		-11.0176065	-8.9454305
19.54685	-4.154116	-2.095718	0.321109	1.218109	0.528996		-10.9955135	-8.9371155
19.553272	-4.129754	-2.085138	0.319206	1.218511	0.529199		-10.9733992	-8.9287832
