x	y	z	Velocidad				x'	y'
41.363835	-3.104054	-13.441785	0.312057	0.82542	0.163551		-17.58139625	-27.91912725
41.613481	-2.443718	-13.310944	0.296204	0.826351	0.168622		-17.00843635	-27.87566235
41.850444	-1.782637	-13.176047	0.28043	0.827023	0.173588		-16.4302924	-27.8237024
42.074788	-1.121018	-13.037176	0.264736	0.827441	0.178451		-15.8471938	-27.7633518
42.286577	-0.459065	-12.894415	0.249125	0.827611	0.183212		-15.25936695	-27.69471695
42.485877	0.203023	-12.747846	0.233597	0.827537	0.187871		-14.66703395	-27.61790295
42.672754	0.865053	-12.597549	0.218156	0.827223	0.192429		-14.0704109	-27.5330129
42.847279	1.526831	-12.443606	0.202801	0.826676	0.196888		-13.46971665	-27.44015365
43.00952	2.188173	-12.286095	0.187535	0.8259	0.201249		-12.865159	-27.339427
43.159547	2.848892	-12.125096	0.172358	0.824898	0.205513		-12.25694945	-27.23093745
43.297434	3.508811	-11.960686	0.157272	0.823675	0.20968		-11.6452909	-27.1147879
43.423252	4.167751	-11.792941	0.142278	0.822236	0.213752		-11.0303872	-26.9910792
43.537074	4.82554	-11.621939	0.127377	0.820585	0.21773		-10.4124359	-26.8599149
43.638976	5.482007	-11.447755	0.11257	0.818724	0.221615		-9.7916346	-26.7213966
43.729032	6.136987	-11.270463	0.097857	0.81666	0.225407		-9.1681742	-26.5756242
43.807318	6.790315	-11.090138	0.08324	0.814394	0.229107		-8.5422463	-26.4226993
43.87391	7.44183	-10.906853	0.068719	0.811931	0.232717		-7.9140385	-26.2627215
43.928884	8.091375	-10.720679	0.054294	0.809274	0.236237		-7.2837344	-26.0957884
43.97232	8.738794	-10.531689	0.039967	0.806427	0.239669		-6.651518	-25.922001
44.004293	9.383935	-10.339954	0.025738	0.803392	0.243012		-6.01756755	-25.74145655
44.024883	10.026649	-10.145545	0.011607	0.800174	0.246269		-5.38206005	-25.55425405
44.034169	10.666788	-9.94853	-0.002425	0.796775	0.249439		-4.74517115	-25.36048915
44.032229	11.304208	-9.748979	-0.016357	0.793198	0.252524		-4.10707215	-25.16025915
44.019143	11.938767	-9.54696	-0.03019	0.789446	0.255524		-3.46793305	-24.95366005
43.994991	12.570324	-9.342541	-0.043923	0.785523	0.25844		-2.82792285	-24.74078785
43.959853	13.198742	-9.135789	-0.057555	0.78143	0.261273		-2.18720655	-24.52173755
43.913809	13.823886	-8.926771	-0.071086	0.77717	0.264024		-1.54594715	-24.29660415
43.85694	14.445622	-8.715552	-0.084517	0.772746	0.266692		-0.904307	-24.065481
43.789326	15.063819	-8.502198	-0.097846	0.768161	0.26928		-0.2624451	-23.8284621
43.71105	15.678348	-8.286774	-0.111073	0.763417	0.271788		0.3794805	-23.5856415
43.622191	16.289081	-8.069343	-0.124199	0.758515	0.274216		1.02131415	-23.33710985
43.522832	16.895893	-7.84997	-0.137223	0.753459	0.276565		1.6629018	-23.0829612
43.413054	17.498661	-7.628718	-0.150144	0.748251	0.278836		2.3040921	-22.8232869
43.292938	18.097262	-7.405649	-0.162963	0.742893	0.281029		2.9447337	-22.5581773
43.162568	18.691576	-7.180826	-0.17568	0.737386	0.283144		3.5846772	-22.2877248
43.022024	19.281484	-6.954311	-0.188293	0.731733	0.285183		4.2237756	-22.0120194
42.87139	19.86687	-6.726165	-0.200804	0.725935	0.287146		4.8618835	-21.7311515
42.710746	20.447618	-6.496448	-0.213212	0.719995	0.289033		5.4988569	-21.4452091
42.540177	21.023614	-6.265221	-0.225516	0.713914	0.290845		6.13455205	-21.15428295
42.359764	21.594746	-6.032545	-0.237717	0.707694	0.292583		6.7688286	-20.8584624
42.169591	22.160901	-5.798479	-0.249814	0.701337	0.294246		7.40154415	-20.55783585
41.96974	22.72197	-5.563082	-0.261807	0.694844	0.295836		8.032561	-20.252491
41.760294	23.277845	-5.326413	-0.273697	0.688216	0.297353		8.6617421	-19.9425159
41.541336	23.828418	-5.088531	-0.285482	0.681456	0.298796		9.2889504	-19.6279986
