x	y	z	Velocidad				x'	y'
21.25332	-19.49023	-8.50658	0.803253	0.761453	0.291635		-26.928892	-15.945242
21.654946	-19.109504	-8.360763	0.787525	0.775332	0.297707		-26.6887351	-15.9399941
22.048709	-18.721837	-8.211909	0.771512	0.788928	0.303671		-26.43888515	-15.92895715
22.434465	-18.327373	-8.060073	0.755222	0.802237	0.309524		-26.17943575	-15.91213575
22.812076	-17.926255	-7.905312	0.73866	0.815252	0.315263		-25.9104816	-15.8895386
23.181406	-17.518629	-7.74768	0.721831	0.827969	0.320888		-25.6321211	-15.8611721
23.542322	-17.104644	-7.587236	0.704743	0.840385	0.326395		-25.3444567	-15.8270487
23.894693	-16.684452	-7.424039	0.6874	0.852494	0.331783		-25.04759455	-15.78718155
24.238393	-16.258205	-7.258147	0.66981	0.864293	0.33705		-24.74164255	-15.74158455
24.573298	-15.826058	-7.089622	0.65198	0.875777	0.342195		-24.4267123	-15.6902763
24.899288	-15.38817	-6.918524	0.633914	0.886941	0.347215		-24.1029208	-15.6332748
25.216245	-14.944699	-6.744917	0.61562	0.897783	0.352108		-23.77038475	-15.57060275
25.524055	-14.495808	-6.568863	0.597105	0.908299	0.356873		-23.42922725	-15.50228225
25.822608	-14.041658	-6.390427	0.578376	0.918483	0.361508		-23.0795708	-15.4283398
26.111796	-13.582417	-6.209673	0.559438	0.928334	0.366012		-22.7215456	-15.3488016
26.391515	-13.11825	-6.026667	0.540299	0.937847	0.370382		-22.35528025	-15.26369725
26.661664	-12.649326	-5.841476	0.520966	0.94702	0.374618		-21.9809084	-15.1730584
26.922147	-12.175816	-5.654167	0.501446	0.955848	0.378717		-21.59856745	-15.07691845
27.17287	-11.697892	-5.464809	0.481745	0.964329	0.382679		-21.2083965	-14.9753135
27.413742	-11.215728	-5.273469	0.461872	0.97246	0.386502		-20.8105377	-14.8682787
27.644678	-10.729498	-5.080218	0.441832	0.980237	0.390185		-20.4051353	-14.7558553
27.865594	-10.239379	-4.885125	0.421634	0.987659	0.393726		-19.9923369	-14.6380829
28.076411	-9.74555	-4.688262	0.401285	0.994723	0.397124		-19.57229385	-14.51500585
28.277054	-9.248188	-4.4897	0.380791	1.001425	0.400378		-19.1451569	-14.3866689
28.467449	-8.747476	-4.289511	0.360161	1.007765	0.403486		-18.71108315	-14.25311815
28.647529	-8.243593	-4.087768	0.339401	1.013738	0.406449		-18.27022815	-14.11440315
28.81723	-7.736724	-3.884544	0.31852	1.019345	0.409263		-17.8227545	-13.9705745
28.97649	-7.227052	-3.679912	0.297524	1.024581	0.41193		-17.3688235	-13.8216835
